# Matter power spectrum P(k) at redshift z=2.5
# for k=1.01776e-05 to 10.8586 h/Mpc,
# number of wavenumbers equal to 728
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.017762622183e-05       6.972038192278e+00 
       2.270599619585e-05       1.512351343407e+01 
       3.527608514283e-05       2.313602968034e+01 
       4.791988385778e-05       3.109268163587e+01 
       6.066988421975e-05       3.904061880451e+01 
       7.355935332593e-05       4.701506779868e+01 
       8.662261594150e-05       5.504605902406e+01 
       9.989534883415e-05       6.316117621797e+01 
       1.134148905905e-04       7.138695659391e+01 
       1.272205705424e-04       7.974973430390e+01 
       1.413540604450e-04       8.827621787612e+01 
       1.558597525164e-04       9.699393602510e+01 
       1.707851673344e-04       1.059316130226e+02 
       1.861813948374e-04       1.151195089797e+02 
       2.021035712214e-04       1.245897428955e+02 
       2.186113937793e-04       1.343766104551e+02 
       2.357696745644e-04       1.445169025651e+02 
       2.536489320239e-04       1.550502262225e+02 
       2.723260172576e-04       1.660193280010e+02 
       2.918847680560e-04       1.774704152800e+02 
       3.124166791059e-04       1.894534680500e+02 
       3.340215703985e-04       2.020225293019e+02 
       3.568082276376e-04       2.152359571524e+02 
       3.808949780657e-04       2.291566137833e+02 
       4.064101524856e-04       2.438519629248e+02 
       4.334923695260e-04       2.593940350269e+02 
       4.622905620153e-04       2.758592126855e+02 
       4.929636490547e-04       2.933277829592e+02 
       5.256797433982e-04       3.118831936180e+02 
       5.606147756581e-04       3.316109521037e+02 
       5.979504195942e-04       3.525971155192e+02 
       6.378712222315e-04       3.749263259751e+02 
       6.805608847774e-04       3.986793943688e+02 
       7.261977096468e-04       4.239304644285e+02 
       7.749493255645e-04       4.507438657867e+02 
       8.269669200523e-04       4.791708226604e+02 
       8.823793310846e-04       5.092462554339e+02 
       9.412874532796e-04       5.409859631454e+02 
       1.003759470115e-03       5.743844960292e+02 
       1.069827407121e-03       6.094139499263e+02 
       1.139485399650e-03       6.460239063390e+02 
       1.212689891188e-03       6.841425313743e+02 
       1.289361754710e-03       7.236787725408e+02 
       1.369390105154e-03       7.645217559409e+02 
       1.452637391706e-03       8.065532436854e+02 
       1.538945256643e-03       8.496464152292e+02 
       1.628140633441e-03       8.936679152212e+02 
       1.720041619037e-03       9.384830202058e+02 
       1.814462767214e-03       9.839586859846e+02 
       1.911219581325e-03       1.029966016874e+03 
       2.010132108911e-03       1.076382220904e+03 
       2.111027641521e-03       1.123091955597e+03 
       2.213742593189e-03       1.169988265660e+03 
       2.318123671520e-03       1.216973041455e+03 
       2.424028471503e-03       1.263957117318e+03 
       2.531325620865e-03       1.310860115346e+03 
       2.639894593864e-03       1.357610120553e+03 
