# Matter power spectrum P(k) at redshift z=3
# for k=1.045e-05 to 8.48825 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       5.223684999500e+00 
       2.333095830364e-05       1.131092227895e+01 
       3.625717138197e-05       1.728455899419e+01 
       4.926346170446e-05       2.321174563980e+01 
       6.238518340034e-05       2.913028906089e+01 
       7.565858108432e-05       3.506827993675e+01 
       8.912111517766e-05       4.104958398363e+01 
       1.028118016360e-04       4.709608475241e+01 
       1.167715704439e-04       5.322882840312e+01 
       1.310436472695e-04       5.946871234398e+01 
       1.456739626796e-04       6.583696108760e+01 
       1.607115932535e-04       7.235549296944e+01 
       1.762092387588e-04       7.904723203582e+01 
       1.922237391794e-04       8.593639083928e+01 
       2.088166347275e-04       9.304874079878e+01 
       2.260547708937e-04       1.004118783189e+02 
       2.440109489228e-04       1.080554913899e+02 
       2.627646196243e-04       1.160116285525e+02 
       2.824026148746e-04       1.243149676840e+02 
       3.030199061975e-04       1.330030807263e+02 
       3.247203730558e-04       1.421166865838e+02 
       3.476175545344e-04       1.516998786557e+02 
       3.718353465748e-04       1.618003108954e+02 
       3.975085925723e-04       1.724693178575e+02 
       4.247834979996e-04       1.837619389190e+02 
       4.538177802962e-04       1.957368077101e+02 
       4.847804449377e-04       2.084558626527e+02 
       5.178510599038e-04       2.219838245013e+02 
       5.532183878397e-04       2.363873917511e+02 
       5.910782339040e-04       2.517340959693e+02 
       6.316303850249e-04       2.680907867004e+02 
       6.750745609842e-04       2.855217243247e+02 
       7.216053758473e-04       3.040863089171e+02 
       7.714064215132e-04       3.238365202600e+02 
       8.246437268604e-04       3.448142091795e+02 
       8.814589978991e-04       3.670484309334e+02 
       9.419631766204e-04       3.905530756562e+02 
       1.006230932013e-03       4.153250563860e+02 
       1.074296682416e-03       4.413432827398e+02 
       1.146152626855e-03       4.685685959500e+02 
       1.221749044348e-03       4.969447003348e+02 
       1.300996843579e-03       5.264000298053e+02 
       1.383772069420e-03       5.568488867821e+02 
       1.469921856686e-03       5.881959523902e+02 
       1.559271205766e-03       6.203434919025e+02 
       1.651629950110e-03       6.531879093185e+02 
       1.746799373907e-03       6.866251245673e+02 
       1.844578083652e-03       7.205529479972e+02 
       1.944766900247e-03       7.548729534441e+02 
       2.047172686846e-03       7.894918445311e+02 
       2.151611143041e-03       8.243224239815e+02 
       2.257908672078e-03       8.592841586924e+02 
