# Matter power spectrum P(k) at redshift z=1
# for k=1.045e-05 to 9.93813 h/Mpc,
# number of wavenumbers equal to 2318
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       1.935676975848e+01 
       2.333095830364e-05       4.191343233174e+01 
       3.625717138197e-05       6.404900617496e+01 
       4.926346170446e-05       8.601224418306e+01 
       6.238518340034e-05       1.079431645978e+02 
       7.565858108432e-05       1.299457738725e+02 
       8.912111517766e-05       1.521084193421e+02 
       1.028118016360e-04       1.745120885705e+02 
       1.167715704439e-04       1.972346545647e+02 
       1.310436472695e-04       2.203534237162e+02 
       1.456739626796e-04       2.439468941039e+02 
       1.607115932535e-04       2.680961120648e+02 
       1.762092387588e-04       2.928858221298e+02 
       1.922237391794e-04       3.184055091677e+02 
       2.088166347275e-04       3.447503935286e+02 
       2.260547708937e-04       3.720224095860e+02 
       2.440109489228e-04       4.003311846286e+02 
       2.627646196243e-04       4.297950237202e+02 
       2.824026148746e-04       4.605418937422e+02 
       3.030199061975e-04       4.927103901356e+02 
       3.247203730558e-04       5.264506565183e+02 
       3.476175545344e-04       5.619252108144e+02 
       3.718353465748e-04       5.993096147647e+02 
       3.975085925723e-04       6.387928995382e+02 
       4.247834979996e-04       6.805776361808e+02 
       4.538177802962e-04       7.248795110206e+02 
       4.847804449377e-04       7.719262450261e+02 
       5.178510599038e-04       8.219556619133e+02 
       5.532183878397e-04       8.752127285810e+02 
       5.910782339040e-04       9.319453624038e+02 
       6.316303850249e-04       9.923988992751e+02 
       6.750745609842e-04       1.056809151324e+03 
       7.216053758473e-04       1.125394159616e+03 
       7.714064215132e-04       1.198344917986e+03 
       8.246437268604e-04       1.275815570542e+03 
       8.814589978991e-04       1.357913760185e+03 
       9.419631766204e-04       1.444692025920e+03 
       1.006230932013e-03       1.536141160226e+03 
       1.074296682416e-03       1.632186326401e+03 
       1.146152626855e-03       1.732686546027e+03 
       1.221749044348e-03       1.837437719908e+03 
       1.300996843579e-03       1.946179005402e+03 
       1.383772069420e-03       2.058596533263e+03 
       1.469921856686e-03       2.174339710422e+03 
       1.559271205766e-03       2.293047778607e+03 
       1.651629950110e-03       2.414337223381e+03 
       1.746799373907e-03       2.537822075785e+03 
       1.844578083652e-03       2.663123177202e+03 
       1.944766900247e-03       2.789875544684e+03 
       2.047172686846e-03       2.917733689422e+03 
       2.151611143041e-03       3.046375252283e+03 
       2.257908672078e-03       3.175502921557e+03 
       2.365903467808e-03       3.304845543216e+03 
       2.475445979787e-03       3.434157143984e+03 
       2.586398907712e-03       3.563217174573e+03 
       2.698636858273e-03       3.691828553299e+03 
       2.812045774843e-03       3.819817296441e+03 
       2.926522227346e-03       3.947028324231e+03 
       3.041972628545e-03       4.073327109580e+03 
       3.158312425015e-03       4.198595112356e+03 
       3.275465296538e-03       4.322729678895e+03 
       3.393362386273e-03       4.445641120404e+03 
       3.511941575581e-03       4.567252810274e+03 
       3.631146811106e-03       4.687497958018e+03 
       3.750927487358e-03       4.806320048147e+03 
       3.871237885001e-03       4.923670585838e+03 
       3.992036663108e-03       5.039508898571e+03 
       4.113286402413e-03       5.153801466184e+03 
       4.234953195938e-03       5.266518838227e+03 
       4.357006283050e-03       5.377638623028e+03 
       4.479417722957e-03       5.487142106293e+03 
       4.602162103782e-03       5.595015406120e+03 
       4.725216283514e-03       5.701247310106e+03 
       4.848559159457e-03       5.805830597284e+03 
       4.972171463028e-03       5.908760236617e+03 
       5.096035577095e-03       6.010034818958e+03 
       5.220135373297e-03       6.109655388704e+03 
