# Matter power spectrum P(k) at redshift z=0.5
# for k=1.045e-05 to 8.48825 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       3.107074180030e+01 
       2.333095830364e-05       6.727779871893e+01 
       3.625717138197e-05       1.028088534972e+02 
       4.926346170446e-05       1.380631608231e+02 
       6.238518340034e-05       1.732654253236e+02 
       7.565858108432e-05       2.085825494367e+02 
       8.912111517766e-05       2.441562872128e+02 
       1.028118016360e-04       2.801165835331e+02 
       1.167715704439e-04       3.165883697034e+02 
       1.310436472695e-04       3.536956625922e+02 
       1.456739626796e-04       3.915643804993e+02 
       1.607115932535e-04       4.303245201765e+02 
       1.762092387588e-04       4.701119999529e+02 
       1.922237391794e-04       5.110703302371e+02 
       2.088166347275e-04       5.533522060418e+02 
       2.260547708937e-04       5.971210765039e+02 
       2.440109489228e-04       6.425527122694e+02 
       2.627646196243e-04       6.898367787443e+02 
       2.824026148746e-04       7.391784142970e+02 
       3.030199061975e-04       7.907997752031e+02 
       3.247203730558e-04       8.449415065845e+02 
       3.476175545344e-04       9.018640642866e+02 
       3.718353465748e-04       9.618487848693e+02 
       3.975085925723e-04       1.025198567456e+03 
       4.247834979996e-04       1.092237985939e+03 
       4.538177802962e-04       1.163312614417e+03 
       4.847804449377e-04       1.238787303839e+03 
       5.178510599038e-04       1.319043102590e+03 
       5.532183878397e-04       1.404472537169e+03 
       5.910782339040e-04       1.495472928442e+03 
       6.316303850249e-04       1.592437570779e+03 
       6.750745609842e-04       1.695744655684e+03 
       7.216053758473e-04       1.805744107468e+03 
       7.714064215132e-04       1.922742753376e+03 
       8.246437268604e-04       2.046988623961e+03 
       8.814589978991e-04       2.178655443157e+03 
       9.419631766204e-04       2.317828736890e+03 
       1.006230932013e-03       2.464495020484e+03 
       1.074296682416e-03       2.618535359071e+03 
       1.146152626855e-03       2.779724344659e+03 
       1.221749044348e-03       2.947734806413e+03 
       1.300996843579e-03       3.122148020383e+03 
       1.383772069420e-03       3.302459829844e+03 
       1.469921856686e-03       3.488107091280e+03 
       1.559271205766e-03       3.678510550150e+03 
       1.651629950110e-03       3.873054861182e+03 
       1.746799373907e-03       4.071121143536e+03 
       1.844578083652e-03       4.272101673716e+03 
       1.944766900247e-03       4.475411410886e+03 
       2.047172686846e-03       4.680496306531e+03 
       2.151611143041e-03       4.886839075987e+03 
       2.257908672078e-03       5.093962393558e+03 
       2.365903467808e-03       5.301430920549e+03 
       2.475445979787e-03       5.508849893703e+03 
       2.586398907712e-03       5.715865572837e+03 
       2.698636858273e-03       5.922162015663e+03 
       2.812045774843e-03       6.127460313912e+03 
       2.926522227346e-03       6.331511693025e+03 
