# Matter power spectrum P(k) at redshift z=4
# for k=1.045e-05 to 8.48825 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       3.359427908599e+00 
       2.333095830364e-05       7.274222417224e+00 
       3.625717138197e-05       1.111596666275e+01 
       4.926346170446e-05       1.492785053069e+01 
       6.238518340034e-05       1.873419276811e+01 
       7.565858108432e-05       2.255306376478e+01 
       8.912111517766e-05       2.639981739159e+01 
       1.028118016360e-04       3.028853331226e+01 
       1.167715704439e-04       3.423275339324e+01 
       1.310436472695e-04       3.824592493588e+01 
       1.456739626796e-04       4.234170670075e+01 
       1.607115932535e-04       4.653420523452e+01 
       1.762092387588e-04       5.083817558235e+01 
       1.922237391794e-04       5.526920364624e+01 
       2.088166347275e-04       5.984388040772e+01 
       2.260547708937e-04       6.457997378447e+01 
       2.440109489228e-04       6.949660047887e+01 
       2.627646196243e-04       7.461439990093e+01 
       2.824026148746e-04       7.995570805455e+01 
       3.030199061975e-04       8.554472860511e+01 
       3.247203730558e-04       9.140769693138e+01 
       3.476175545344e-04       9.757302816909e+01 
       3.718353465748e-04       1.040714383431e+02 
       3.975085925723e-04       1.109360235627e+02 
       4.247834979996e-04       1.182022778750e+02 
       4.538177802962e-04       1.259080242493e+02 
       4.847804449377e-04       1.340932307709e+02 
       5.178510599038e-04       1.427996763158e+02 
       5.532183878397e-04       1.520704346280e+02 
       5.910782339040e-04       1.619491379962e+02 
       6.316303850249e-04       1.724790014445e+02 
       6.750745609842e-04       1.837015915166e+02 
       7.216053758473e-04       1.956553580356e+02 
       7.714064215132e-04       2.083739756040e+02 
       8.246437268604e-04       2.218845848902e+02 
       8.814589978991e-04       2.362060566808e+02 
       9.419631766204e-04       2.513474441751e+02 
       1.006230932013e-03       2.673067932986e+02 
       1.074296682416e-03       2.840704625614e+02 
       1.146152626855e-03       3.016130689612e+02 
       1.221749044348e-03       3.198980885559e+02 
       1.300996843579e-03       3.388790739797e+02 
       1.383772069420e-03       3.585004197480e+02 
       1.469921856686e-03       3.787003109739e+02 
       1.559271205766e-03       3.994154137961e+02 
       1.651629950110e-03       4.205787041473e+02 
       1.746799373907e-03       4.421229642754e+02 
       1.844578083652e-03       4.639823260880e+02 
       1.944766900247e-03       4.860934674009e+02 
       2.047172686846e-03       5.083964601522e+02 
       2.151611143041e-03       5.308353507562e+02 
       2.257908672078e-03       5.533584695991e+02 
       2.365903467808e-03       5.759186436881e+02 
       2.475445979787e-03       5.984729981271e+02 
       2.586398907712e-03       6.209830808886e+02 
       2.698636858273e-03       6.434144671372e+02 
       2.812045774843e-03       6.657367556008e+02 
       2.926522227346e-03       6.879229178350e+02 
       3.041972628545e-03       7.099494634360e+02 
       3.158312425015e-03       7.317956897923e+02 
       3.275465296538e-03       7.534438372970e+02 
       3.393362386273e-03       7.748783063021e+02 
       3.511941575581e-03       7.960858113367e+02 
       3.631146811106e-03       8.170547666769e+02 
       3.750927487358e-03       8.377753572502e+02 
       3.871237885001e-03       8.582391376100e+02 
       3.992036663108e-03       8.784390261322e+02 
       4.113286402413e-03       8.983691642288e+02 
       4.234953195938e-03       9.180243958099e+02 
       4.357006283050e-03       9.374008725709e+02 
       4.479417722957e-03       9.564953317592e+02 
       4.602162103782e-03       9.753053924312e+02 
       4.725216283514e-03       9.938290954328e+02 
       4.848559159457e-03       1.012065205304e+03 
       4.972171463028e-03       1.030012938866e+03 
       5.096035577095e-03       1.047671986734e+03 
       5.220135373297e-03       1.065042569688e+03 
       5.344456067073e-03       1.082124895296e+03 
       5.468984088379e-03       1.098919603804e+03 
       5.593706966285e-03       1.115428119536e+03 
       5.718613225869e-03       1.131651115468e+03 
       5.843692296004e-03       1.147590468287e+03 
       5.968934426788e-03       1.163247743193e+03 
       6.094330615523e-03       1.178624416252e+03 
       6.219872540296e-03       1.193722666623e+03 
       6.345552500285e-03       1.208544310361e+03 
       6.471363362067e-03       1.223091147575e+03 
       6.597298511245e-03       1.237365773576e+03 
       6.723351808830e-03       1.251370577318e+03 
       6.849517551848e-03       1.265107375328e+03 
       6.975790437733e-03       1.278578475277e+03 
       7.102165532088e-03       1.291786944369e+03 
       7.228638239473e-03       1.304734231989e+03 
       7.355204276895e-03       1.317423124275e+03 
       7.481859649730e-03       1.329856947074e+03 
       7.608600629819e-03       1.342037589465e+03 
       7.735423735528e-03       1.353967501320e+03 
       7.862325713566e-03       1.365649287624e+03 
       7.989303522403e-03       1.377086038434e+03 
       8.116354317107e-03       1.388279394062e+03 
       8.243475435493e-03       1.399232885891e+03 
       8.370664385430e-03       1.409947778236e+03 
       8.497918833217e-03       1.420428417335e+03 
       8.625236592919e-03       1.430675994151e+03 
       8.752615616576e-03       1.440693298109e+03 
       8.880053985201e-03       1.450482837920e+03 
       9.007549900508e-03       1.460047262398e+03 
       9.135101677287e-03       1.469387976118e+03 
       9.262707736385e-03       1.478510425486e+03 
       9.390366598231e-03       1.487413930872e+03 
       9.518076876860e-03       1.496102279199e+03 
       9.645837274391e-03       1.504576844507e+03 
       9.773646575931e-03       1.512861649378e+03 
       9.901503644852e-03       1.520948788330e+03 
       1.002940741843e-02       1.528798842318e+03 
       1.015735690378e-02       1.536439490847e+03 
       1.028535117414e-02       1.543879274946e+03 
       1.041338936539e-02       1.551121756838e+03 
       1.054147067279e-02       1.558168837751e+03 
       1.066959434803e-02       1.565022361812e+03 
       1.079775969644e-02       1.571684816452e+03 
       1.092596607441e-02       1.578157069032e+03 
       1.105421288699e-02       1.584441975464e+03 
       1.118249958563e-02       1.590541870939e+03 
       1.131082566619e-02       1.596458338255e+03 
       1.143919066690e-02       1.602194000899e+03 
       1.156759416669e-02       1.607750709497e+03 
       1.169603578339e-02       1.613130297845e+03 
       1.182451517231e-02       1.618335406350e+03 
       1.195303202469e-02       1.623367352933e+03 
       1.208158606644e-02       1.628228386457e+03 
       1.221017705681e-02       1.632921466165e+03 
       1.233880478731e-02       1.637447601941e+03 
       1.246746908058e-02       1.641808390696e+03 
       1.259616978942e-02       1.646007103201e+03 
       1.272490679583e-02       1.650044736361e+03 
       1.285368001017e-02       1.653923285339e+03 
       1.298248937038e-02       1.657645241011e+03 
       1.311133484117e-02       1.661211977288e+03 
       1.324021641342e-02       1.664625272416e+03 
       1.336913410352e-02       1.667887349354e+03 
       1.349808795276e-02       1.671000302349e+03 
       1.362707802683e-02       1.673965300155e+03 
       1.375610441532e-02       1.676783967343e+03 
       1.388516723129e-02       1.679458754554e+03 
       1.401426661081e-02       1.681991252930e+03 
       1.414340271265e-02       1.684383607059e+03 
       1.427257571792e-02       1.686636785616e+03 
       1.440178582977e-02       1.688752805629e+03 
       1.453103327311e-02       1.690733077430e+03 
       1.466031829438e-02       1.692580095080e+03 
       1.478964116137e-02       1.694294342774e+03 
       1.491900216301e-02       1.695879730204e+03 
       1.504840160920e-02       1.697335723880e+03 
       1.517783983073e-02       1.698669530146e+03 
       1.530731717916e-02       1.699869023191e+03 
       1.543683402673e-02       1.700949597876e+03 
       1.556639076630e-02       1.701908766979e+03 
       1.569598781137e-02       1.702747528666e+03 
       1.582562559600e-02       1.703467671945e+03 
       1.595530457487e-02       1.704070912455e+03 
       1.608502522327e-02       1.704557638234e+03 
       1.621478803722e-02       1.704930730061e+03 
       1.634459353345e-02       1.705190300568e+03 
       1.647444224958e-02       1.705339860865e+03 
       1.660433474414e-02       1.705379565855e+03 
       1.673427159678e-02       1.705310739152e+03 
       1.686425340835e-02       1.705135631331e+03 
       1.699428080111e-02       1.704855796389e+03 
       1.712435441886e-02       1.704472048126e+03 
       1.725447492718e-02       1.703985520360e+03 
       1.738464301363e-02       1.703400273478e+03 
       1.751485938798e-02       1.702712968218e+03 
       1.764512478243e-02       1.701928992695e+03 
       1.777543995193e-02       1.701048606310e+03 
       1.790580567440e-02       1.700073418028e+03 
       1.803622275109e-02       1.699005586680e+03 
       1.816669200684e-02       1.697843869022e+03 
       1.829721429042e-02       1.696592232380e+03 
       1.842779047491e-02       1.695251658353e+03 
       1.855842145803e-02       1.693821709285e+03 
       1.868910816253e-02       1.692306514034e+03 
       1.881985153660e-02       1.690704853267e+03 
       1.895065255427e-02       1.689018215196e+03 
