# Halofit, Smith 
#  k, P(k)
1.027950000000000043e-05 9.486860000000000070e+00
1.034699999999999936e-05 9.546969999999999956e+00
1.041499999999999939e-05 9.607509999999999550e+00
1.048340000000000029e-05 9.668390000000000484e+00
1.055230000000000060e-05 9.729710000000000747e+00
1.062160000000000008e-05 9.791359999999999175e+00
1.069140000000000067e-05 9.853450000000000486e+00
1.076170000000000066e-05 9.915960000000000107e+00
1.083239999999999983e-05 9.978820000000002466e+00
1.090349999999999988e-05 1.004200000000000159e+01
1.097519999999999954e-05 1.010570000000000057e+01
1.104730000000000009e-05 1.016980000000000040e+01
1.111979999999999982e-05 1.023419999999999952e+01
1.119289999999999917e-05 1.029909999999999926e+01
1.126639999999999940e-05 1.036439999999999984e+01
1.134049999999999925e-05 1.043009999999999948e+01
1.141499999999999998e-05 1.049619999999999997e+01
1.149000000000000010e-05 1.056279999999999930e+01
1.156549999999999964e-05 1.062979999999999947e+01
1.164140000000000004e-05 1.069709999999999894e+01
1.171790000000000007e-05 1.076490000000000080e+01
1.179489999999999951e-05 1.083309999999999995e+01
1.187240000000000003e-05 1.090179999999999794e+01
1.195039999999999997e-05 1.097090000000000032e+01
1.202889999999999930e-05 1.104049999999999976e+01
1.210789999999999973e-05 1.111040000000000028e+01
1.218749999999999978e-05 1.118089999999999939e+01
1.226759999999999923e-05 1.125180000000000113e+01
1.234819999999999978e-05 1.132319999999999993e+01
1.242929999999999973e-05 1.139489999999999981e+01
1.251099999999999931e-05 1.146720000000000006e+01
1.259319999999999998e-05 1.153989999999999938e+01
1.267590000000000005e-05 1.161299999999999955e+01
1.275919999999999974e-05 1.168660000000000032e+01
1.284300000000000053e-05 1.176069999999999993e+01
1.292739999999999925e-05 1.183530000000000015e+01
1.301230000000000076e-05 1.191029999999999944e+01
1.309780000000000019e-05 1.198579999999999934e+01
1.318380000000000073e-05 1.206169999999999831e+01
1.327049999999999941e-05 1.213819999999999943e+01
1.335769999999999918e-05 1.221519999999999939e+01
1.344540000000000005e-05 1.229260000000000019e+01
1.353380000000000076e-05 1.237059999999999960e+01
1.362269999999999918e-05 1.244899999999999807e+01
1.371220000000000061e-05 1.252790000000000070e+01
1.380229999999999997e-05 1.260730000000000040e+01
1.389290000000000043e-05 1.268720000000000070e+01
1.398420000000000072e-05 1.276759999999999984e+01
1.407610000000000064e-05 1.284859999999999758e+01
1.416860000000000017e-05 1.293009999999999948e+01
1.426169999999999933e-05 1.301200000000000045e+01
1.435539999999999981e-05 1.309450000000000003e+01
1.444969999999999991e-05 1.317750000000000021e+01
1.454459999999999962e-05 1.326100000000000101e+01
1.464019999999999918e-05 1.334510000000000041e+01
1.473629999999999984e-05 1.342960000000000065e+01
1.483320000000000055e-05 1.351490000000000080e+01
1.493060000000000067e-05 1.360049999999999848e+01
1.502870000000000063e-05 1.368670000000000009e+01
1.512750000000000043e-05 1.377350000000000030e+01
1.522679999999999963e-05 1.386079999999999934e+01
1.532690000000000059e-05 1.394870000000000232e+01
1.542760000000000116e-05 1.403709999999999880e+01
1.552889999999999967e-05 1.412599999999999945e+01
1.563099999999999993e-05 1.421570000000000000e+01
1.573370000000000150e-05 1.430579999999999963e+01
1.583700000000000101e-05 1.439639999999999809e+01
1.594109999999999887e-05 1.448769999999999847e+01
1.604580000000000145e-05 1.457950000000000124e+01
1.615119999999999878e-05 1.467189999999999905e+01
1.625730000000000103e-05 1.476490000000000080e+01
1.636420000000000165e-05 1.485859999999999914e+01
1.647170000000000020e-05 1.495279999999999809e+01
1.657990000000000028e-05 1.504759999999999920e+01
1.668879999999999851e-05 1.514290000000000092e+01
1.679849999999999849e-05 1.523900000000000077e+01
1.690879999999999979e-05 1.533549999999999969e+01
1.701989999999999946e-05 1.543269999999999875e+01
1.713170000000000065e-05 1.553059999999999974e+01
1.724430000000000022e-05 1.562909999999999933e+01
1.735760000000000132e-05 1.572810000000000130e+01
1.747160000000000057e-05 1.582779999999999987e+01
1.758640000000000157e-05 1.592820000000000036e+01
1.770200000000000094e-05 1.602919999999999590e+01
1.781829999999999845e-05 1.613080000000000069e+01
1.793530000000000089e-05 1.623300000000000054e+01
1.805319999999999852e-05 1.633599999999999852e+01
1.817180000000000108e-05 1.643949999999999889e+01
1.829119999999999862e-05 1.654370000000000118e+01
1.841130000000000108e-05 1.664849999999999852e+01
1.853229999999999873e-05 1.675410000000000110e+01
1.865410000000000153e-05 1.686039999999999850e+01
1.877659999999999909e-05 1.696719999999999828e+01
1.889999999999999862e-05 1.707479999999999976e+01
1.902409999999999968e-05 1.718290000000000006e+01
1.914909999999999933e-05 1.729189999999999827e+01
1.927490000000000073e-05 1.740139999999999887e+01
1.940160000000000072e-05 1.751180000000000092e+01
1.952899999999999886e-05 1.762269999999999825e+01
1.965739999999999919e-05 1.773450000000000060e+01
1.978650000000000105e-05 1.784690000000000154e+01
1.991650000000000150e-05 1.796000000000000085e+01
2.004730000000000032e-05 1.807379999999999853e+01
2.017910000000000133e-05 1.818850000000000122e+01
2.031160000000000048e-05 1.830369999999999919e+01
2.044509999999999844e-05 1.841980000000000217e+01
2.057940000000000154e-05 1.853650000000000375e+01
2.071459999999999984e-05 1.865399999999999991e+01
2.085070000000000011e-05 1.877230000000000132e+01
2.098769999999999897e-05 1.889130000000000109e+01
2.112559999999999980e-05 1.901110000000000255e+01
2.126439999999999922e-05 1.913149999999999551e+01
2.140410000000000061e-05 1.925280000000000058e+01
2.154470000000000059e-05 1.937490000000000023e+01
2.168629999999999937e-05 1.949769999999999825e+01
2.182869999999999990e-05 1.962130000000000507e+01
2.197219999999999946e-05 1.974570000000000292e+01
2.211650000000000077e-05 1.987089999999999890e+01
2.226180000000000089e-05 1.999679999999999680e+01
2.240809999999999981e-05 2.012359999999999971e+01
2.255530000000000070e-05 2.025120000000000076e+01
2.270350000000000040e-05 2.037959999999999638e+01
2.285259999999999868e-05 2.050870000000000104e+01
2.300279999999999938e-05 2.063879999999999981e+01
2.315389999999999866e-05 2.076960000000000051e+01
2.330600000000000014e-05 2.090119999999999933e+01
2.345920000000000064e-05 2.103379999999999939e+01
2.361329999999999972e-05 2.116710000000000136e+01
2.376840000000000100e-05 2.130130000000000123e+01
2.392460000000000130e-05 2.143629999999999924e+01
2.408180000000000040e-05 2.157219999999999871e+01
2.423999999999999831e-05 2.170899999999999963e+01
2.439919999999999841e-05 2.184649999999999892e+01
2.455950000000000093e-05 2.198499999999999588e+01
2.472089999999999908e-05 2.212440000000000140e+01
2.488329999999999942e-05 2.226470000000000127e+01
2.504679999999999878e-05 2.240579999999999927e+01
2.521140000000000056e-05 2.254789999999999850e+01
2.537700000000000115e-05 2.269079999999999941e+01
2.554370000000000075e-05 2.283459999999999823e+01
2.571149999999999938e-05 2.297939999999999827e+01
2.588050000000000065e-05 2.312509999999999977e+01
2.605050000000000071e-05 2.327169999999999916e+01
2.622170000000000002e-05 2.341929999999999623e+01
2.639390000000000152e-05 2.356769999999999854e+01
2.656729999999999888e-05 2.371709999999999852e+01
2.674189999999999887e-05 2.386749999999999972e+01
2.691760000000000127e-05 2.401880000000000237e+01
2.709439999999999931e-05 2.417099999999999937e+01
2.727239999999999997e-05 2.432420000000000115e+01
2.745159999999999988e-05 2.447840000000000060e+01
2.763199999999999904e-05 2.463359999999999772e+01
2.781350000000000060e-05 2.478970000000000340e+01
2.799630000000000163e-05 2.494699999999999562e+01
2.818020000000000168e-05 2.510500000000000043e+01
2.836530000000000098e-05 2.526410000000000267e+01
2.855169999999999974e-05 2.542429999999999879e+01
2.873930000000000112e-05 2.558549999999999969e+01
2.892809999999999837e-05 2.574759999999999849e+01
2.911810000000000163e-05 2.591079999999999472e+01
2.930950000000000119e-05 2.607509999999999906e+01
2.950199999999999977e-05 2.624030000000000129e+01
2.969580000000000120e-05 2.640660000000000096e+01
2.989089999999999870e-05 2.657400000000000162e+01
3.008729999999999906e-05 2.674249999999999972e+01
3.028499999999999888e-05 2.691199999999999548e+01
3.048400000000000155e-05 2.708259999999999579e+01
3.068430000000000029e-05 2.725430000000000064e+01
3.088590000000000188e-05 2.742709999999999937e+01
3.108879999999999955e-05 2.760089999999999932e+01
3.129300000000000007e-05 2.777590000000000003e+01
3.149859999999999688e-05 2.795200000000000173e+01
3.170559999999999676e-05 2.812920000000000442e+01
3.191389999999999949e-05 2.830750000000000099e+01
3.212349999999999830e-05 2.848689999999999856e+01
3.233460000000000040e-05 2.866750000000000398e+01
3.254699999999999857e-05 2.884919999999999618e+01
3.276090000000000003e-05 2.903219999999999956e+01
3.297609999999999756e-05 2.921620000000000417e+01
3.319279999999999838e-05 2.940140000000000242e+01
3.341080000000000205e-05 2.958770000000000167e+01
3.363030000000000224e-05 2.977529999999999788e+01
3.385129999999999894e-05 2.996410000000000196e+01
3.407369999999999870e-05 3.015409999999999258e+01
3.429760000000000176e-05 3.034519999999999840e+01
3.452290000000000111e-05 3.053750000000000142e+01
3.474969999999999698e-05 3.073110000000000142e+01
3.497800000000000290e-05 3.092589999999999861e+01
3.520779999999999857e-05 3.112190000000000012e+01
3.543909999999999752e-05 3.131919999999999149e+01
3.567199999999999999e-05 3.151780000000000115e+01
3.590629999999999874e-05 3.171740000000000137e+01
3.614220000000000101e-05 3.191850000000000520e+01
3.637970000000000000e-05 3.212089999999999890e+01
3.661870000000000229e-05 3.232439999999999714e+01
3.685930000000000131e-05 3.252940000000000254e+01
3.710149999999999706e-05 3.273550000000000182e+01
3.734520000000000287e-05 3.294299999999999784e+01
3.759059999999999886e-05 3.315189999999999770e+01
3.783749999999999814e-05 3.336189999999999856e+01
3.808610000000000115e-05 3.357339999999999947e+01
3.833640000000000111e-05 3.378629999999999711e+01
3.858819999999999758e-05 3.400039999999999907e+01
3.884179999999999800e-05 3.421600000000000108e+01
3.909690000000000170e-05 3.443280000000000030e+01
3.935380000000000258e-05 3.465100000000000335e+01
3.961240000000000041e-05 3.487069999999999936e+01
3.987260000000000175e-05 3.509179999999999922e+01
4.013460000000000026e-05 3.531419999999999959e+01
4.039830000000000249e-05 3.553810000000000002e+01
4.066370000000000168e-05 3.576330000000000098e+01
4.093079999999999782e-05 3.598989999999999867e+01
4.119979999999999812e-05 3.621809999999999974e+01
4.147040000000000193e-05 3.644769999999999754e+01
4.174290000000000314e-05 3.667869999999999919e+01
4.201720000000000151e-05 3.691120000000000090e+01
4.229319999999999683e-05 3.714520000000000266e+01
4.257110000000000310e-05 3.738060000000000116e+01
4.285079999999999976e-05 3.761760000000000304e+01
4.313230000000000037e-05 3.785600000000000875e+01
4.341569999999999837e-05 3.809599999999999653e+01
4.370090000000000031e-05 3.833740000000000236e+01
4.398799999999999965e-05 3.858039999999999736e+01
4.427700000000000315e-05 3.882489999999999952e+01
4.456789999999999726e-05 3.907110000000000127e+01
4.486070000000000232e-05 3.931869999999999976e+01
4.515549999999999821e-05 3.956800000000000495e+01
4.545209999999999805e-05 3.981869999999999976e+01
4.575080000000000249e-05 4.007119999999999749e+01
4.605129999999999733e-05 4.032520000000000238e+01
4.635389999999999677e-05 4.058080000000000354e+01
4.665840000000000037e-05 4.083800000000000097e+01
4.696500000000000181e-05 4.109689999999999799e+01
4.727360000000000085e-05 4.135739999999999839e+01
4.758409999999999729e-05 4.161950000000000216e+01
4.789679999999999854e-05 4.188340000000000174e+01
4.821139999999999719e-05 4.214889999999999759e+01
4.852820000000000067e-05 4.241599999999999682e+01
4.884700000000000175e-05 4.268489999999999895e+01
4.916800000000000088e-05 4.295550000000000068e+01
4.949099999999999761e-05 4.322769999999999868e+01
4.981609999999999896e-05 4.350169999999999959e+01
5.014339999999999835e-05 4.377740000000000009e+01
5.047290000000000256e-05 4.405499999999999261e+01
5.080449999999999783e-05 4.433420000000000272e+01
5.113829999999999792e-05 4.461520000000000152e+01
5.147420000000000261e-05 4.489789999999999992e+01
5.181239999999999880e-05 4.518249999999999744e+01
5.215279999999999981e-05 4.546889999999999787e+01
5.249549999999999909e-05 4.575710000000000832e+01
5.284040000000000319e-05 4.604710000000000747e+01
5.318749999999999856e-05 4.633890000000000242e+01
5.353699999999999919e-05 4.663259999999999650e+01
5.388869999999999788e-05 4.692820000000000391e+01
5.424280000000000182e-05 4.722560000000000002e+01
5.459909999999999704e-05 4.752479999999999194e+01
5.495789999999999774e-05 4.782610000000000383e+01
5.531890000000000326e-05 4.812919999999999732e+01
5.568240000000000071e-05 4.843430000000000746e+01
5.604820000000000320e-05 4.874119999999999919e+01
5.641639999999999741e-05 4.905010000000000048e+01
5.678709999999999710e-05 4.936100000000000421e+01
5.716020000000000204e-05 4.967390000000001038e+01
5.753569999999999870e-05 4.998870000000000147e+01
5.791370000000000084e-05 5.030550000000000210e+01
5.829420000000000169e-05 5.062430000000000518e+01
5.867720000000000124e-05 5.094520000000000692e+01
5.906269999999999950e-05 5.126809999999999690e+01
5.945079999999999668e-05 5.159300000000000352e+01
5.984139999999999935e-05 5.192009999999999792e+01
6.023450000000000071e-05 5.224909999999999854e+01
6.063030000000000123e-05 5.258030000000000115e+01
6.102860000000000045e-05 5.291360000000000241e+01
6.142959999999999881e-05 5.324889999999999901e+01
6.183320000000000287e-05 5.358650000000000091e+01
6.223939999999999909e-05 5.392600000000000193e+01
6.264829999999999444e-05 5.426780000000000115e+01
