# Halofit, Smith 
#  k, P(k)
1.027950000000000043e-05 2.497510000000000474e+01
1.034699999999999936e-05 2.513329999999999487e+01
1.041499999999999939e-05 2.529269999999999996e+01
1.048340000000000029e-05 2.545299999999999940e+01
1.055230000000000060e-05 2.561439999999999984e+01
1.062160000000000008e-05 2.577669999999999817e+01
1.069140000000000067e-05 2.594020000000000081e+01
1.076170000000000066e-05 2.610470000000000468e+01
1.083239999999999983e-05 2.627019999999999911e+01
1.090349999999999988e-05 2.643659999999999854e+01
1.097519999999999954e-05 2.660429999999999851e+01
1.104730000000000009e-05 2.677300000000000324e+01
1.111979999999999982e-05 2.694249999999999901e+01
1.119289999999999917e-05 2.711340000000000217e+01
1.126639999999999940e-05 2.728519999999999968e+01
1.134049999999999925e-05 2.745840000000000103e+01
1.141499999999999998e-05 2.763240000000000052e+01
1.149000000000000010e-05 2.780759999999999721e+01
1.156549999999999964e-05 2.798389999999999844e+01
1.164140000000000004e-05 2.816110000000000113e+01
1.171790000000000007e-05 2.833959999999999724e+01
1.179489999999999951e-05 2.851930000000000476e+01
1.187240000000000003e-05 2.870009999999999906e+01
1.195039999999999997e-05 2.888210000000000122e+01
1.202889999999999930e-05 2.906510000000000105e+01
1.210789999999999973e-05 2.924930000000000163e+01
1.218749999999999978e-05 2.943489999999999540e+01
1.226759999999999923e-05 2.962150000000000105e+01
1.234819999999999978e-05 2.980930000000000035e+01
1.242929999999999973e-05 2.999820000000000420e+01
1.251099999999999931e-05 3.018850000000000122e+01
1.259319999999999998e-05 3.037990000000000279e+01
1.267590000000000005e-05 3.057239999999999824e+01
1.275919999999999974e-05 3.076620000000000132e+01
1.284300000000000053e-05 3.096120000000000161e+01
1.292739999999999925e-05 3.115749999999999886e+01
1.301230000000000076e-05 3.135489999999999711e+01
1.309780000000000019e-05 3.155370000000000630e+01
1.318380000000000073e-05 3.175360000000000227e+01
1.327049999999999941e-05 3.195510000000000161e+01
1.335769999999999918e-05 3.215769999999999840e+01
1.344540000000000005e-05 3.236149999999999949e+01
1.353380000000000076e-05 3.256680000000000064e+01
1.362269999999999918e-05 3.277320000000000277e+01
1.371220000000000061e-05 3.298089999999999833e+01
1.380229999999999997e-05 3.318999999999999773e+01
1.389290000000000043e-05 3.340019999999999811e+01
1.398420000000000072e-05 3.361200000000000188e+01
1.407610000000000064e-05 3.382519999999999527e+01
1.416860000000000017e-05 3.403960000000000008e+01
1.426169999999999933e-05 3.425549999999999784e+01
1.435539999999999981e-05 3.447259999999999991e+01
1.444969999999999991e-05 3.469109999999999872e+01
1.454459999999999962e-05 3.491089999999999804e+01
1.464019999999999918e-05 3.513239999999999696e+01
1.473629999999999984e-05 3.535490000000000066e+01
1.483320000000000055e-05 3.557920000000000016e+01
1.493060000000000067e-05 3.580460000000000065e+01
1.502870000000000063e-05 3.603159999999999741e+01
1.512750000000000043e-05 3.626019999999999754e+01
1.522679999999999963e-05 3.648980000000000246e+01
1.532690000000000059e-05 3.672129999999999939e+01
1.542760000000000116e-05 3.695409999999999684e+01
1.552889999999999967e-05 3.718820000000000192e+01
1.563099999999999993e-05 3.742410000000000281e+01
1.573370000000000150e-05 3.766140000000000043e+01
1.583700000000000101e-05 3.789999999999999858e+01
1.594109999999999887e-05 3.814030000000000342e+01
1.604580000000000145e-05 3.838199999999999790e+01
1.615119999999999878e-05 3.862530000000000285e+01
1.625730000000000103e-05 3.887010000000000076e+01
1.636420000000000165e-05 3.911679999999999779e+01
1.647170000000000020e-05 3.936469999999999914e+01
1.657990000000000028e-05 3.961419999999999675e+01
1.668879999999999851e-05 3.986529999999999774e+01
