# Halofit, tahahashi 
#  k, P(k)
1.027950000000000043e-05 1.995220000000000127e+01
1.034699999999999936e-05 2.007860000000000156e+01
1.041499999999999939e-05 2.020599999999999952e+01
1.048340000000000029e-05 2.033399999999999608e+01
1.055230000000000060e-05 2.046300000000000097e+01
1.062160000000000008e-05 2.059260000000000090e+01
1.069140000000000067e-05 2.072319999999999851e+01
1.076170000000000066e-05 2.085470000000000113e+01
1.083239999999999983e-05 2.098689999999999856e+01
1.090349999999999988e-05 2.111980000000000146e+01
1.097519999999999954e-05 2.125379999999999470e+01
1.104730000000000009e-05 2.138850000000000051e+01
1.111979999999999982e-05 2.152389999999999759e+01
1.119289999999999917e-05 2.166049999999999898e+01
1.126639999999999940e-05 2.179769999999999897e+01
1.134049999999999925e-05 2.193599999999999994e+01
1.141499999999999998e-05 2.207509999999999906e+01
1.149000000000000010e-05 2.221499999999999986e+01
1.156549999999999964e-05 2.235589999999999478e+01
1.164140000000000004e-05 2.249749999999999872e+01
1.171790000000000007e-05 2.264010000000000034e+01
1.179489999999999951e-05 2.278360000000000340e+01
1.187240000000000003e-05 2.292810000000000059e+01
1.195039999999999997e-05 2.307339999999999947e+01
1.202889999999999930e-05 2.321969999999999956e+01
1.210789999999999973e-05 2.336680000000000490e+01
1.218749999999999978e-05 2.351510000000000034e+01
1.226759999999999923e-05 2.366420000000000101e+01
1.234819999999999978e-05 2.381419999999999959e+01
1.242929999999999973e-05 2.396509999999999962e+01
1.251099999999999931e-05 2.411709999999999710e+01
1.259319999999999998e-05 2.426999999999999957e+01
1.267590000000000005e-05 2.442379999999999995e+01
1.275919999999999974e-05 2.457860000000000156e+01
1.284300000000000053e-05 2.473440000000000083e+01
1.292739999999999925e-05 2.489120000000000132e+01
1.301230000000000076e-05 2.504899999999999949e+01
1.309780000000000019e-05 2.520779999999999887e+01
1.318380000000000073e-05 2.536750000000000327e+01
1.327049999999999941e-05 2.552849999999999753e+01
1.335769999999999918e-05 2.569030000000000058e+01
1.344540000000000005e-05 2.585310000000000485e+01
1.353380000000000076e-05 2.601709999999999923e+01
1.362269999999999918e-05 2.618199999999999861e+01
1.371220000000000061e-05 2.634789999999999921e+01
1.380229999999999997e-05 2.651500000000000057e+01
1.389290000000000043e-05 2.668290000000000006e+01
1.398420000000000072e-05 2.685210000000000008e+01
1.407610000000000064e-05 2.702239999999999753e+01
1.416860000000000017e-05 2.719370000000000331e+01
1.426169999999999933e-05 2.736609999999999943e+01
1.435539999999999981e-05 2.753960000000000363e+01
1.444969999999999991e-05 2.771419999999999817e+01
1.454459999999999962e-05 2.788979999999999748e+01
1.464019999999999918e-05 2.806670000000000087e+01
1.473629999999999984e-05 2.824449999999999861e+01
1.483320000000000055e-05 2.842369999999999663e+01
1.493060000000000067e-05 2.860369999999999990e+01
1.502870000000000063e-05 2.878509999999999991e+01
1.512750000000000043e-05 2.896770000000000067e+01
1.522679999999999963e-05 2.915109999999999957e+01
1.532690000000000059e-05 2.933609999999999829e+01
1.542760000000000116e-05 2.952199999999999847e+01
1.552889999999999967e-05 2.970909999999999584e+01
1.563099999999999993e-05 2.989750000000000085e+01
1.573370000000000150e-05 3.008710000000000306e+01
1.583700000000000101e-05 3.027769999999999939e+01
1.594109999999999887e-05 3.046969999999999956e+01
1.604580000000000145e-05 3.066280000000000072e+01
1.615119999999999878e-05 3.085719999999999885e+01
1.625730000000000103e-05 3.105269999999999797e+01
1.636420000000000165e-05 3.124980000000000047e+01
1.647170000000000020e-05 3.144780000000000086e+01
1.657990000000000028e-05 3.164720000000000155e+01
1.668879999999999851e-05 3.184769999999999968e+01
1.679849999999999849e-05 3.204970000000000141e+01
1.690879999999999979e-05 3.225280000000000058e+01
1.701989999999999946e-05 3.245729999999999649e+01
1.713170000000000065e-05 3.266299999999999670e+01
1.724430000000000022e-05 3.287010000000000076e+01
1.735760000000000132e-05 3.307849999999999824e+01
1.747160000000000057e-05 3.328810000000000002e+01
1.758640000000000157e-05 3.349920000000000186e+01
1.770200000000000094e-05 3.371159999999999712e+01
1.781829999999999845e-05 3.392530000000000001e+01
1.793530000000000089e-05 3.414030000000000342e+01
1.805319999999999852e-05 3.435679999999999978e+01
1.817180000000000108e-05 3.457459999999999667e+01
1.829119999999999862e-05 3.479380000000000450e+01
1.841130000000000108e-05 3.501420000000000243e+01
1.853229999999999873e-05 3.523629999999999995e+01
1.865410000000000153e-05 3.545969999999999800e+01
1.877659999999999909e-05 3.568439999999999657e+01
1.889999999999999862e-05 3.591060000000000230e+01
1.902409999999999968e-05 3.613810000000000144e+01
1.914909999999999933e-05 3.636730000000000018e+01
1.927490000000000073e-05 3.659770000000000323e+01
1.940160000000000072e-05 3.682979999999999876e+01
1.952899999999999886e-05 3.706309999999999860e+01
1.965739999999999919e-05 3.729820000000000135e+01
1.978650000000000105e-05 3.753459999999999752e+01
1.991650000000000150e-05 3.777250000000000085e+01
2.004730000000000032e-05 3.801179999999999382e+01
2.017910000000000133e-05 3.825300000000000011e+01
2.031160000000000048e-05 3.849519999999999698e+01
2.044509999999999844e-05 3.873940000000000339e+01
2.057940000000000154e-05 3.898490000000000322e+01
2.071459999999999984e-05 3.923199999999999932e+01
2.085070000000000011e-05 3.948069999999999879e+01
2.098769999999999897e-05 3.973100000000000165e+01
2.112559999999999980e-05 3.998290000000000077e+01
2.126439999999999922e-05 4.023630000000000706e+01
2.140410000000000061e-05 4.049150000000000205e+01
2.154470000000000059e-05 4.074810000000000088e+01
2.168629999999999937e-05 4.100650000000000261e+01
2.182869999999999990e-05 4.126630000000000109e+01
2.197219999999999946e-05 4.152810000000000201e+01
2.211650000000000077e-05 4.179120000000000346e+01
2.226180000000000089e-05 4.205619999999999692e+01
2.240809999999999981e-05 4.232280000000000797e+01
2.255530000000000070e-05 4.259109999999999729e+01
2.270350000000000040e-05 4.286110000000000042e+01
2.285259999999999868e-05 4.313269999999999982e+01
2.300279999999999938e-05 4.340630000000000166e+01
2.315389999999999866e-05 4.368139999999999645e+01
2.330600000000000014e-05 4.395819999999999794e+01
2.345920000000000064e-05 4.423710000000000520e+01
2.361329999999999972e-05 4.451740000000000208e+01
2.376840000000000100e-05 4.479959999999999809e+01
2.392460000000000130e-05 4.508370000000001454e+01
2.408180000000000040e-05 4.536950000000000216e+01
2.423999999999999831e-05 4.565710000000000690e+01
2.439919999999999841e-05 4.594639999999999702e+01
2.455950000000000093e-05 4.623769999999999669e+01
2.472089999999999908e-05 4.653090000000000259e+01
2.488329999999999942e-05 4.682580000000000098e+01
2.504679999999999878e-05 4.712270000000000181e+01
2.521140000000000056e-05 4.742150000000000176e+01
2.537700000000000115e-05 4.772200000000000131e+01
2.554370000000000075e-05 4.802450000000001040e+01
2.571149999999999938e-05 4.832889999999999731e+01
2.588050000000000065e-05 4.863539999999999708e+01
2.605050000000000071e-05 4.894369999999999976e+01
2.622170000000000002e-05 4.925399999999999778e+01
2.639390000000000152e-05 4.956620000000000914e+01
2.656729999999999888e-05 4.988040000000000873e+01
2.674189999999999887e-05 5.019670000000000698e+01
2.691760000000000127e-05 5.051490000000000435e+01
2.709439999999999931e-05 5.083499999999999375e+01
2.727239999999999997e-05 5.115720000000000312e+01
2.745159999999999988e-05 5.148160000000000025e+01
2.763199999999999904e-05 5.180800000000000693e+01
2.781350000000000060e-05 5.213640000000000185e+01
2.799630000000000163e-05 5.246699999999999875e+01
2.818020000000000168e-05 5.279939999999999856e+01
2.836530000000000098e-05 5.313400000000000745e+01
2.855169999999999974e-05 5.347099999999998943e+01
2.873930000000000112e-05 5.380980000000000274e+01
2.892809999999999837e-05 5.415090000000000003e+01
2.911810000000000163e-05 5.449400000000000688e+01
2.930950000000000119e-05 5.483959999999999724e+01
2.950199999999999977e-05 5.518719999999999715e+01
2.969580000000000120e-05 5.553679999999999950e+01
2.989089999999999870e-05 5.588889999999999958e+01
3.008729999999999906e-05 5.624320000000000164e+01
3.028499999999999888e-05 5.659970000000000567e+01
3.048400000000000155e-05 5.695859999999999701e+01
3.068430000000000029e-05 5.731970000000000454e+01
3.088590000000000188e-05 5.768310000000000315e+01
3.108879999999999955e-05 5.804869999999999663e+01
3.129300000000000007e-05 5.841660000000000963e+01
3.149859999999999688e-05 5.878690000000000282e+01
3.170559999999999676e-05 5.915970000000000084e+01
3.191389999999999949e-05 5.953470000000000084e+01
3.212349999999999830e-05 5.991199999999999193e+01
3.233460000000000040e-05 6.029189999999999827e+01
3.254699999999999857e-05 6.067399999999999949e+01
3.276090000000000003e-05 6.105880000000000507e+01
3.297609999999999756e-05 6.144579999999999131e+01
3.319279999999999838e-05 6.183539999999999281e+01
3.341080000000000205e-05 6.222720000000001050e+01
3.363030000000000224e-05 6.262170000000000414e+01
3.385129999999999894e-05 6.301879999999999171e+01
3.407369999999999870e-05 6.341819999999998458e+01
3.429760000000000176e-05 6.382030000000000314e+01
3.452290000000000111e-05 6.422469999999999857e+01
3.474969999999999698e-05 6.463179999999999836e+01
3.497800000000000290e-05 6.504160000000000252e+01
3.520779999999999857e-05 6.545390000000000441e+01
3.543909999999999752e-05 6.586860000000000070e+01
3.567199999999999999e-05 6.628629999999999711e+01
3.590629999999999874e-05 6.670629999999999882e+01
3.614220000000000101e-05 6.712909999999999400e+01
3.637970000000000000e-05 6.755480000000000018e+01
3.661870000000000229e-05 6.798290000000000077e+01
3.685930000000000131e-05 6.841389999999999816e+01
3.710149999999999706e-05 6.884749999999999659e+01
3.734520000000000287e-05 6.928379999999999939e+01
3.759059999999999886e-05 6.972310000000000230e+01
3.783749999999999814e-05 7.016479999999999961e+01
3.808610000000000115e-05 7.060970000000000368e+01
3.833640000000000111e-05 7.105740000000000123e+01
3.858819999999999758e-05 7.150759999999999650e+01
3.884179999999999800e-05 7.196099999999999852e+01
3.909690000000000170e-05 7.241710000000000491e+01
3.935380000000000258e-05 7.287600000000000477e+01
3.961240000000000041e-05 7.333810000000001139e+01
3.987260000000000175e-05 7.380289999999999395e+01
4.013460000000000026e-05 7.427069999999999084e+01
4.039830000000000249e-05 7.474160000000000537e+01
4.066370000000000168e-05 7.521529999999999916e+01
4.093079999999999782e-05 7.569190000000000396e+01
4.119979999999999812e-05 7.617189999999999372e+01
4.147040000000000193e-05 7.665460000000001628e+01
4.174290000000000314e-05 7.714050000000000296e+01
4.201720000000000151e-05 7.762959999999999638e+01
4.229319999999999683e-05 7.812160000000000082e+01
4.257110000000000310e-05 7.861669999999999447e+01
4.285079999999999976e-05 7.911510000000001241e+01
4.313230000000000037e-05 7.961660000000000537e+01
4.341569999999999837e-05 8.012120000000000175e+01
4.370090000000000031e-05 8.062900000000001910e+01
4.398799999999999965e-05 8.114019999999999300e+01
4.427700000000000315e-05 8.165440000000000964e+01
4.456789999999999726e-05 8.217199999999998283e+01
4.486070000000000232e-05 8.269289999999998031e+01
4.515549999999999821e-05 8.321710000000000207e+01
4.545209999999999805e-05 8.374450000000000216e+01
4.575080000000000249e-05 8.427549999999999386e+01
4.605129999999999733e-05 8.480960000000000321e+01
4.635389999999999677e-05 8.534709999999999752e+01
4.665840000000000037e-05 8.588809999999999434e+01
4.696500000000000181e-05 8.643269999999999698e+01
4.727360000000000085e-05 8.698050000000000637e+01
4.758409999999999729e-05 8.753170000000000073e+01
4.789679999999999854e-05 8.808679999999999666e+01
4.821139999999999719e-05 8.864499999999999602e+01
4.852820000000000067e-05 8.920690000000000452e+01
4.884700000000000175e-05 8.977230000000000132e+01
4.916800000000000088e-05 9.034159999999999968e+01
4.949099999999999761e-05 9.091400000000000148e+01
4.981609999999999896e-05 9.149030000000000484e+01
5.014339999999999835e-05 9.207009999999999650e+01
5.047290000000000256e-05 9.265380000000000393e+01
5.080449999999999783e-05 9.324099999999999966e+01
5.113829999999999792e-05 9.383209999999999695e+01
5.147420000000000261e-05 9.442659999999999343e+01
5.181239999999999880e-05 9.502529999999998722e+01
5.215279999999999981e-05 9.562739999999998020e+01
5.249549999999999909e-05 9.623359999999999559e+01
5.284040000000000319e-05 9.684359999999999502e+01
5.318749999999999856e-05 9.745720000000000027e+01
5.353699999999999919e-05 9.807500000000000284e+01
5.388869999999999788e-05 9.869660000000000366e+01
5.424280000000000182e-05 9.932219999999998095e+01
5.459909999999999704e-05 9.995149999999999579e+01
5.495789999999999774e-05 1.005850000000000080e+02
5.531890000000000326e-05 1.012229999999999990e+02
5.568240000000000071e-05 1.018640000000000043e+02
5.604820000000000320e-05 1.025100000000000051e+02
5.641639999999999741e-05 1.031589999999999918e+02
5.678709999999999710e-05 1.038130000000000166e+02
5.716020000000000204e-05 1.044709999999999752e+02
5.753569999999999870e-05 1.051329999999999956e+02
5.791370000000000084e-05 1.057999999999999972e+02
5.829420000000000169e-05 1.064700000000000131e+02
5.867720000000000124e-05 1.071449999999999960e+02
5.906269999999999950e-05 1.078239999999999981e+02
5.945079999999999668e-05 1.085070000000000050e+02
5.984139999999999935e-05 1.091950000000000074e+02
6.023450000000000071e-05 1.098870000000000005e+02
6.063030000000000123e-05 1.105840000000000032e+02
6.102860000000000045e-05 1.112849999999999966e+02
6.142959999999999881e-05 1.119899999999999949e+02
6.183320000000000287e-05 1.127000000000000028e+02
6.223939999999999909e-05 1.134140000000000157e+02
6.264829999999999444e-05 1.141329999999999956e+02
6.305990000000000250e-05 1.148559999999999945e+02
6.347419999999999614e-05 1.155840000000000032e+02
6.389120000000000248e-05 1.163169999999999789e+02
6.431100000000000141e-05 1.170539999999999878e+02
6.473349999999999948e-05 1.177960000000000065e+02
6.515880000000000370e-05 1.185430000000000064e+02
6.558690000000000049e-05 1.192939999999999827e+02
6.601780000000000343e-05 1.200499999999999972e+02
6.645160000000000595e-05 1.208110000000000070e+02
6.688809999999999407e-05 1.215759999999999934e+02
6.732760000000000231e-05 1.223469999999999942e+02
6.776990000000000314e-05 1.231219999999999999e+02
6.821519999999999700e-05 1.239030000000000058e+02
6.866340000000000399e-05 1.246879999999999882e+02
6.911449999999999701e-05 1.254779999999999944e+02
6.956859999999999661e-05 1.262740000000000009e+02
7.002559999999999579e-05 1.270739999999999981e+02
7.048569999999999499e-05 1.278790000000000049e+02
7.094880000000000078e-05 1.286889999999999930e+02
7.141489999999999958e-05 1.295049999999999955e+02
7.188409999999999841e-05 1.303259999999999934e+02
7.235639999999999726e-05 1.311519999999999868e+02
7.283179999999999613e-05 1.319830000000000041e+02
7.331029999999999502e-05 1.328189999999999884e+02
7.379189999999999393e-05 1.336610000000000298e+02
7.427669999999999986e-05 1.345080000000000098e+02
7.476469999999999926e-05 1.353600000000000136e+02
7.525590000000000567e-05 1.362179999999999893e+02
7.575039999999999898e-05 1.370809999999999889e+02
7.624800000000000588e-05 1.379499999999999886e+02
7.674900000000000667e-05 1.388240000000000123e+02
7.725320000000000093e-05 1.397040000000000077e+02
7.776080000000000264e-05 1.405900000000000034e+02
7.827170000000000481e-05 1.414799999999999898e+02
7.878589999999999389e-05 1.423770000000000095e+02
7.930350000000000398e-05 1.432789999999999964e+02
7.982460000000000141e-05 1.441870000000000118e+02
8.034899999999999931e-05 1.451009999999999991e+02
8.087689999999999810e-05 1.460209999999999582e+02
8.140829999999999779e-05 1.469459999999999980e+02
8.194310000000000493e-05 1.478770000000000095e+02
8.248150000000000642e-05 1.488139999999999930e+02
8.302339999999999525e-05 1.497580000000000098e+02
8.356890000000000553e-05 1.507069999999999652e+02
8.411790000000000315e-05 1.516620000000000061e+02
8.467060000000000211e-05 1.526229999999999905e+02
8.522680000000000197e-05 1.535900000000000034e+02
8.578679999999999661e-05 1.545629999999999882e+02
8.635039999999999914e-05 1.555430000000000064e+02
8.691770000000000301e-05 1.565279999999999916e+02
8.748880000000000166e-05 1.575200000000000102e+02
8.806360000000000164e-05 1.585180000000000007e+02
8.864210000000000297e-05 1.595229999999999961e+02
8.922450000000000606e-05 1.605329999999999870e+02
8.981070000000000394e-05 1.615509999999999877e+02
9.040080000000000359e-05 1.625749999999999886e+02
9.099469999999999802e-05 1.636040000000000134e+02
9.159260000000000123e-05 1.646409999999999911e+02
9.219429999999999921e-05 1.656839999999999975e+02
9.280000000000000597e-05 1.667340000000000089e+02
9.340969999999999438e-05 1.677909999999999968e+02
9.402340000000000513e-05 1.688540000000000134e+02
